paths_ovi_2,blocks_ovi_2,condition_type_ovi_2
data/male_conditioning/m_4-1_b1_oviposition.xlsx,one,male_mated
data/male_conditioning/m_4-1_b2_oviposition.xlsx,two,male_mated
data/male_conditioning/m_1-4_b1_oviposition.xlsx,one,male_mated
data/male_conditioning/m_1-4_b2_oviposition.xlsx,two,male_mated
data/female_conditioning/virgin/1-4_oviposition_virgin_b2.xlsx,two,female_virgin
data/female_conditioning/virgin/1-4_oviposition_virgin_b3.xlsx,three,female_virgin
data/female_conditioning/virgin/1-4_oviposition_virgin_b4.xlsx,four,female_virgin
data/female_conditioning/virgin/4-1_oviposition_virgin_b2.xlsx,two,female_virgin
data/female_conditioning/virgin/4-1_oviposition_virgin_b3.xlsx,three,female_virgin
data/female_conditioning/virgin/4-1_oviposition_virgin_b4.xlsx,four,female_virgin
data/female_conditioning/ovod1/1-4_oviposition_ovod1_b1.xlsx,one,female_ovod1
data/female_conditioning/ovod1/1-4_oviposition_ovod1_b2.xlsx,two,female_ovod1
data/female_conditioning/ovod1/4-1_oviposition_ovod1_b1.xlsx,one,female_ovod1
data/female_conditioning/ovod1/4-1_oviposition_ovod1_b2.xlsx,two,female_ovod1
data/density_experiment/50mm_4-1_oviposition_2.xlsx,one,male_density_50mm
data/density_experiment/50mm_1-4_oviposition_2.xlsx,one,male_density_50mm
data/density_experiment/90mm_4-1_oviposition_2.xlsx,one,male_density_90mm
data/density_experiment/90mm_1-4_oviposition_2.xlsx,one,male_density_90mm
